sample_id,Flat_1024_summary,Flat_Overlap_summary,document,reference,TreeSum_summary
2859,"– The Rock, Zac Efron, and a host of other big names star in the reboot of Baywatch, but critics aren't exactly bowled over. Here's what they're saying: ""Other than some slo-mo self-parody, the film discards any real connection to the titillatingly cheesy television series that inspired it,"" writes Manohla Dargis at the New York Times. ""Words you can't say in prime time are lobbed frequently and jokes based on male nether parts are extended to excruciating effect. Director Seth Gordon seems to have decided to go full gonzo—as in outrageous and tasteless—and the result is an ideal movie for immature, socially maladjusted males and their long-suffering girlfriends."" ""The simple expectation is a project that can poke fun at its source material, but use it as a base to deliver something fresh, like 21 Jumpstreet with suntan lotion,"" writes Joe Morgenstern at the Wall Street Journal. ""The reality is a little more stale. Baywatch wants to be smart-dumb, but winds up being dumb- dumb, a great beach body with nothing inside its brain."" ""It's hard not to laugh at some of the gross-out jokes,"" writes Chris Nashawaty at CNN, but ""for the most part, the movie has been shaped into a kind of buddy comedy.""","– The Rock, Zac Efron, Priyanka Chopra, Ilfenesh Hadera, Kelly Rohrbach, and Jon Bass star in the reboot of Baywatch, based on the hit TV series about lifeguards at a California beach. Here's what critics are saying: ""Other than some slo-mo self-parody, the film discards any real connection to the titillatingly cheesy television series that inspired it,"" writes Manohla Dargis at the New York Times. ""Words you can't say in prime time are lobbed frequently and jokes based on male nether parts are extended to excruciating effect. Director Seth Gordon seems to have decided to go full gonzo—as in outrageous and tasteless—and the result is an ideal movie for immature, socially maladjusted males and their long-suffering girlfriends."" ""The simple expectation is a project that can poke fun at its source material, but use it as a base to deliver something fresh, like 21 Jumpstreet with suntan lotion,"" writes Joe Morgenstern at the Wall Street Journal. ""The reality is a little more stale. Baywatch wants to be smart-dumb, but winds up being dumb- dumb, a great beach body with nothing inside its brain."" ""For the most part, the movie has been shaped into a kind of buddy comedy,"" writes Adam Graham at the Detroit News. ""You want to blow your whistle.""",,,
563,"– ""Today I will tell you, with lots of prayers and lots of thinking, I can't help you anymore being a Democrat governor,"" Politico quotes West Virginia Gov. Jim Justice as saying Thursday. ""So tomorrow, I will be changing my registration to Republican."" According to CNN, Justice made the surprise announcement during a rally with President Trump in Huntington, W.Va. The state's first Republican governor in more than 20 years was in attendance at the rally. Justice, a billionaire who was West Virginia's richest man before becoming governor, will be running as a Republican in the 2018 election, which will see Democratic Sen. Joe Manchin's seat up for re-election, the Wall Street Journal reports. Manchin was already seen as a top GOP target for 2018. ""I certainly have wondered what the impact is likely to be on Manchin,"" the president of the West Virginia Chamber of Commerce tells the New York Times. ""If Manchin is taken by surprise, my guess is that he just has a lot to think about.""","– The richest man in West Virginia has left the Democratic Party for the Republican one. Billionaire Jim Justice, who was heavily favored to win the Democratic primary for governor this year, has joined the GOP, the Wall Street Journal reports. ""I have decided to join the Republican Party because I believe it is in the best interest of West Virginia,"" the 59-year-old billionaire, who made his fortune in the coal, timber, and tourism industries, said in a statement. ""It is time for West Virginia to move in a new direction and I look forward to working with all West Virginians to make that happen."" The move could complicate the re-election campaign of Sen. Joe Manchin, a moderate Democrat who has maintained a good relationship with the White House. ""There had been some speculation that Manchin was going to change parties from earlier on,"" a US Chamber of Commerce official tells the Washington Post. ""If Manchin is taken by surprise, my guess is that he just has a lot to think about."" Justice is friends with Senate Majority Leader Mitch McConnell, and donated to McConnell's super PAC in 2014. He also donated to the Republican Governors Association just a few years before he ran for governor. The state's first Republican governor in more than 20 years was in attendance at a rally with President Trump in Huntington, W.Va.",,,
2001,"– Matthew McConaughey is returning to his alma mater, the University of Texas at Austin, to teach a film class this fall, US Weekly reports. According to the San Antonio Express-News, the 46-year-old Oscar winner will ""take 30 lucky students 'behind the scenes' of their recently released film Free State of Jones through recorded videos and one on-campus visit."" The film is about a Confederate Army medic who gets branded as a deserter and is forced to run away, finding refuge with runaway slaves. McConaughey and Hunger Games director Gary Ross will show students clips from the movie and explain why it was filmed that way, according to a university spokesperson.","– Matthew McConaughey is returning to his alma mater, the University of Texas at Austin, to teach a film class this fall, US Weekly reports. According to the San Antonio Express-News, the 46-year-old Oscar winner will ""take 30 lucky students 'behind the scenes' of their recently released film Free State of Jones through recorded videos and one on-campus visit."" The film is about a Confederate Army medic who gets branded as a deserter and is forced to run away, finding refuge with runaway slaves. McConaughey and Hunger Games director Gary Ross will show students clips from the movie and explain why it was filmed that way, according to a university spokesperson.",,,
3027,"– Russian hackers have been spying on computers used by NATO, the European Union, Ukraine, and companies in the energy and telecommunications sectors for the past five years, US cybersecurity firm iSight Partners says. The firm says the hackers exploited a bug in Microsoft Windows and other software to spy on the targets, Reuters reports. ISight says it told Microsoft about the bug and held off on disclosing it so the software maker had time to fix it. A Microsoft spokesman said the company plans to roll out an automatic update to affected versions of Windows on Tuesday. There was no immediate comment from the Russian government,NATO, the EU, or the Ukraine government. Researchers with Dallas-based iSight said they believed the hackers are Russian because of language clues in the software code and because of their choice of targets. ""Your targets almost certainly have to do with your interests. We see strong ties to Russian origins here,"" said John Hultquist, head of iSight's cyber espionage practice. The five-year cyber espionage campaign is still going on, according to iSight, which dubbed the operation ""Sandworm Team"" because it found references to the ""Dune"" science fiction series in thesoftware code used by the hackers.","– Russian hackers have been spying on computers used by NATO, the European Union, Ukraine, and companies in the energy and telecommunications sectors for the past five years, US cybersecurity firm iSight Partners says. The firm says the hackers exploited a bug in Microsoft Windows and other software to spy on the targets, Reuters reports. ISight says it told Microsoft about the bug and held off on disclosing it so the software maker had time to fix it. A Microsoft spokesman said the company plans to roll out an automatic update to affected versions of Windows on Tuesday. There was no immediate comment from the Russian government,NATO, the EU, or the Ukraine government. Researchers with Dallas-based iSight said they believed the hackers are Russian because of language clues in the software code and because of their choice of targets. ""Your targets almost certainly have to do with your interests. We see strong ties to Russian origins here,"" said John Hultquist, head of iSight's cyber espionage practice. The five-year cyber espionage campaign is still going on, according to iSight, which dubbed the operation ""Sandworm Team"" because it found references to the ""Dune"" science fiction series in thesoftware code used by the hackers.",,,
2334,"– Scott Kelly returned home to the US today after a record-breaking year in space, landing in Houston with sister-in-law Gabrielle Giffords at his side, the Washington Post reports. ""It's great to be back here on planet Earth, back in our great country, and back with all my family and friends,"" Kelly told the NASA press pool after landing. ""I also want to say this was not my flight. They’ve talked about my year in Space, it’s not my achievement, it's NASA’s achievement, and it is our country's achievement."" Kelly's twin, astronaut Mark Kelly, was also on hand, as was Jill Biden, who brought apple pie and beer for Kelly. ""The beer is from the president, actually, from the garden, and the apple pie is just from all Americans,"" Biden said. ""So, we hold you in our hearts. Welcome home.""","– Scott Kelly returned to Earth today after a record-breaking year in space, and he arrived to find that he's a little shorter than his twin, Mark. The two stood side-by-side for the first time in almost a year when Kelly arrived in Houston, the Washington Post reports. According to CNN, astronauts get taller in space as the spine elongates, ""but they return to preflight height after a short time back on Earth."" NASA scientists knew Scott Kelly would grow a little taller during his mission, but they weren't aware of the difference between his height and Mark's before he went into space. NASA hopes to learn more about the long-term effects of space travel as it prepares to put astronauts on Mars in the 2030s.",,,
1292,"– Colorado police and prosecutors are planning a new round of DNA testing in the JonBenet Ramsey murder case after a joint investigation by 9NEWS and the Boulder Daily Camera found flaws in previous testing. ""We are going to take a look at the new technology, and see how they may help us further this investigation,"" says Boulder Police Chief Greg Testa. The new testing will involve new, more sensitive ""kits"" required of crime labs by the FBI's Combined DNA Index System, the database includes genetic profiles from more than 15.1 million known offenders and arrestees and more than 738,000 unsolved cases. The Colorado Bureau of Investigation says testing of the items will begin early next month with the Yfiler Plus kit. ""Its greatest strength is that additional areas on the DNA will be tested,"" a CBI spokeswoman says. ""Over time, the results will be analyzed in more areas of the case."" A former public defender says the items should be tested for male genetic material. ""I still think that the best thing they could probably do in theJonBenet case is figure how many males are on,"" he tells the Denver Post.","– The DNA evidence used to exonerate the Ramsey family in JonBenet Ramsey's murder 20 years ago may not be all it's cracked up to be, a joint investigation by the Daily Camera and KUSA-TV finds. For one thing, two of the three DNA samples used by then-Boulder County District Attorney Mary Lacy to declare the family innocent actually contained genetic material from at least three people, including the 6-year-old victim. If that's true, it would contradict the assertion that DNA will be key to finding the killer. ""It's a rather obvious point, but I mean, if you—former DA Mary Lacy's exoneration of the Ramseyfamily in the 1996 murder of JonBeNET Ramsey has come under renewed scrutiny, thanks to a series of stories by the Denver Post, the Boulder Daily Camera, and 9NEWS. Among other things, the reports suggest that Lacy may have been guilty of ""confirmation bias,"" in which investigators become so blinded by their own theories that they give extra credence to evidence that does not. ""Here, the silver bullet misfired,"" says a UC-Irvine professor, one of the experts who reviewed the evidence at the news organizations' request. The new testing will involve new, more sensitive ""kits"" required of crime labs by the FBI's Combined DNA Index System, the database that includes genetic profiles from more than 15.1 million known offenders and arrestees and more than 738,000 unsolved cases. ""Over time, the results will be more individualizing to a specific male versus a family.""","Boulder police and prosecutors are planning a new round of DNA tests on key evidence in the unsolved 1996 murder of 6-year-old JonBenétRamsey, 9NEWS and the Boulder Daily Camera have learned. 
 
 The move comes in the wake of a joint 9NEWS/Camera investigation that uncovered serious flaws in the interpretation of previous DNA testing on the panties and long johns the girl was wearing when she was killed late on Christmas night in 1996, or early the next morning. 
 
 RELATED: DNA in doubt: A clos...","– The 20th anniversary of JonBenet Ramsey's murder has led to all kinds of renewed speculation about the case, but now comes an actual development in the criminal investigation: The state plans to conduct new DNA tests on the panties and long johns the 6-year-old was wearing when she was killed on or after Christmas night 1996, reports the Daily Camera and 9News. A previous investigation by the two news outlets suggested that former District Attorney Mary Lacy erred when she exonerated members of the Ramsey family in 2008 based on her interpretation of earlier DNA tests. Lacy concluded that those tests revealed that an intruder killed the girl, but outside forensic experts have since disputed that, asserting that the DNA was a mishmash of multiple people and not that of the single person referred to as ""Unknown Male 1."" ""If you're looking for someone that doesn't exist, because actually it's several people, it's a problem,"" explained a former US attorney for Colorado. The new, more sophisticated tests could provide an answer to which view is right. They could also reveal the DNA is worthless in terms of tracking down the killer, and merely the result of ""inconsequential contact with other people,"" per the Camera. One of the most high-profile anniversary stories about the case came via CBS, whose expert panel concluded that JonBenet's brother, Burke, killed his sister. Burke has since sued, but the forensic pathologist he's going after argued in court documents this month that his view on the case was mere ""speculation"" about ""one of the major unsolved crimes"" of the 20th century and thus should be protected speech, reports People. No word on when the new DNA tests will be conducted. (Burke also talked to Dr. Phil.)","– Colorado police and prosecutors are planning a new round of DNA testing in the JonBenet Ramsey murder case after a joint investigation by 9NEWS and the Boulder Daily Camera found flaws in previous testing. The new testing will involve new, more sensitive ""kits"" required of crime labs by the FBI's Combined DNA Index System, the database that includes genetic profiles from more than 15.1 million known offenders and arrestees and more than 738,000 unsolved cases. ""We should be doing all reasonable testing that we can do, and we will be,"" says Boulder County District Attorney Stan Garnett, who says he has met with the Colorado Bureau of Investigation. ""Over time, the results will be more individualizing to a specific male versus a family,"" the Daily Camera reports. Former public defender Michael McKee, who has taught an advanced course on forensic science at the University of Colorado, tells the Denver Post that he believes there is more to be tested and that the new kits will help ""shed some light on what it."" The 2008 testing of DNA found in her underwear and in two spots on her long johns didn't jibe with findings by forensic experts hired by the district attorney's office at the time. The experts disagreed with former DA Mary Lacy's conclusion that the DNA matched that found on the girl's clothing, that there was. The Bode Cellmark Forensics lab determined that DNA found at the scene of the 6-year-old's murder wasn't from one person but from ""potentially accumulated DNA,"" which could have come from people in the Ramsey family. ""Reproducibility and repeatability is a hallmark of science,"" says one scientist. ""To me, that does raise concern."""
3589,"– Earlier this month, Andrew Hallinan declared his Florida gun store to be a ""Muslim-free zone."" Now the local chapter of the Council on American-Islamic Relations is suing him for violating the civil rights of Muslims in the state, the Orlando Sentinel reports. ""American Muslims have a right to browse and purchase guns, take classes on gun safety, and shoot guns at a range without having to be profiled and discriminated,"" CAIR Florida's executive director says in a statement. ""Such discrimination is not only illegal, it is bad for our country and makes us less safe and less free."" The lawsuit asks that the court bar Florida Gun Supply from ""discrimination against Muslims or instituting any policies or practices that discriminate or segregate people on the basis of religion,"" NBC Miami reports. A lawyer for the store calls the lawsuit ""completely frivolous"" and says it may seek sanctions against CAIR for filing it. ""Mr.Hallinan has an obligation to not train or equip terrorists and he refuses to do so,"" the lawyer says.","– ""I have a moral and legal responsibility to ensure the safety of all patriots in my community,"" Andy Hallinan said in a video posted to Facebook earlier this month. ""So effective immediately, I'm declaring Florida Gun Supply as a Muslim-free zone. I will not arm and train those who wish to do harm to my fellow patriots."" Now the local chapter of the Council on American-Islamic Relations has filed a lawsuit against the Inverness, Fla., gun shop, USA Today reports. ""American Muslims have a right to browse and purchase guns, take classes on gun safety, and shoot guns at a range without having to be profiled and discriminated,"" CAIR Florida's executive director says in a statement. ""Such discrimination is not only illegal, it is bad for our country and makes us less safe and less free."" The lawsuit asks that the court bar the store from ""discrimination against Muslims or instituting any policies or practices that discriminate or segregate people on the basis of religion."" A lawyer for the store calls the lawsuit ""completely frivolous"" and says it may seek sanctions against CAIR for filing it.","The Council on Islamic-American Relations announced a lawsuit against Florida Gun Supply, which was declared a ""Muslim-Free zone"" by owner Andy Hallinan. (Published Wednesday, July 29, 2015) 
 
 A Florida gun shop whose owner declared the store a ""Muslim-free zone"" is facing a lawsuit from the Council on American-Islamic Relations. 
 
 CAIR announced Wednesday that they were filing the lawsuit against Florida Gun Supply in Inverness. 
 
 ""American Muslims have a right to browse and purchase guns...","– The owner of a gun store in Florida who declared his shop to be a ""Muslim-free zone"" is now the target of a lawsuit. The Council on American-Islamic Relations filed a federal lawsuit calling the policy at Florida Gun Supply discriminatory, reports Reuters. The move comes after owner Andrew Hallinan, 28, posted a video to Facebook announcing his new policy in the wake of the Chattanooga rampage. ""I have a moral and legal responsibility to ensure the safety of all patriots in my community,"" Hallinan says in the video, as quoted by NBC Miami. ""So effective immediately, I'm declaring Florida Gun Supply as a Muslim-free zone. I will not arm and train those who wish to do harm to my fellow patriots."" But the chief executive of CAIR calls it blatant ""Islamophobia"" that must be challenged. ""Unfortunately, he caved in to a lot of the anti-Muslim pressure and anti-Muslim base that he's pandering to,"" Hassan Shibly tells USA Today. ""When he refused to reconsider his position, when he refused to reconsider to be educated, refused to engage this community, refused to respect American law, we had no choice but to bring forward this lawsuit."" Meanwhile, Chris Martin, a US military veteran who converted to Islam, has traveled to Inverness, Florida, from California so he can try to enroll in a training course at the shop to challenge the ban, reports WFTS-TV. Federal agents are reportedly keeping a close eye on the situation.","– ""I have a moral and legal responsibility to ensure the safety of all patriots in my community,"" Andy Hallinan said in a video posted to Facebook earlier this month. ""So effective immediately, I'm declaring Florida Gun Supply as a Muslim-free zone. I will not arm and train those who wish to do harm to my fellow patriots."" Now, the local chapter of the Council on American-Islamic Relations is suing the Inverness, Fla., gun shop for violating federal law, NBC News reports. ""American Muslims have a right to browse and purchase guns, take classes on gun safety, and shoot guns at a range without having to be profiled and discriminated,"" Hassan Shibly, chief executive director of CAIR Florida, says in a statement. ""Such discrimination is not only illegal, it is bad for our country and makes us less safe and less free."" In its lawsuit, CAIR says the store's policy violates federal law. ""We want to make the law crystal-clear to any businesses elsewhere contemplating the implementation of such policies that religious discrimination is still illegal in the United States of America and that American Muslims are just as much entitled to their rights as every other American is,"" Shibly says. ""Unfortunately, he caved in to a lot of the anti-Muslim pressure and anti- Muslim base that he's pandering to,"" the group's executive director adds. ""When he refused to reconsider his position ... refused to engage this community, refused to respect American law, we had no."" ATF is investigating the incident, the Orlando Sentinel reports."
4450,"– South Korea says it won't allow North Korea to attend a reunion for families separated by the Korean War next month despite Pyongyang's demand for the return of 22 restaurant workers who defected to the South earlier this year. South Korea's Unification Ministry said Friday that the reunion will go ahead as planned on Aug. 3, but it will ""not be possible"" for the North to attend if the restaurant defectors aren't returned immediately, Yonhap News reports. According to South Korean media, the 22 women worked at a restaurant in the North Korean border town of Panmunjom and say they were pressured into defecting by superiors at the restaurant who threatened to kill them if they tried to return to the North. The North has demanded the women's return.","– North Korea is ratcheting up its rhetoric against the South ahead of a reunion of families separated by the Korean War next month, Yonhap News reports. According to the North's official Korean Central News Agency, the South ""kidnapped"" two restaurant workers from the North and is trying to force them back across the border. ""We will closely watch what action the South Korean government will take,"" says one North Korean propaganda website. ""It could serve as an obstacle not just to the planned reunions of separated families between the two Koreas but also to the overall inter-Korean relations."" The workers are believed to have defected to the South via a restaurant manager who says South Korea's spy agency was involved in the process. The North has demanded the women be returned immediately.","Seoul, South Korea (CNN) The leaders of North and South Korea will hold a summit in Pyongyang in September, both countries announced Monday. 
 
 It will be the third in-person meeting between South Korean President Moon Jae-in and North Korean leader Kim Jong Un. The two first met in April, pledging to forge closer relations and work to formally end the Korean War in an agreement called the Panmunjom Declaration 
 
 They then held an impromptu meeting in May at the demilitarized zone that divide...","– What was unprecedented in April is now becoming ... routine? The leaders of North and South Korea will meet again sometime in September, their third such meeting in five months, reports CNN. This time, however, the South's Moon Jae-in will travel to Pyongyang to meet with Kim Jong Un. High-level officials from the two nations announced the meeting after talks in the Demilitarized Zone on Monday. No agenda has been released, but the two sides have been discussing everything from a possible peace declaration to economic projects, notes Reuters. One potential sore spot: The plight of 12 North Korean women now in South Korea as restaurant workers. The North claims they were kidnapped—or perhaps tricked into defecting—and must be returned, while the South maintains they defected of their own accord in 2016 through China, per Yonhap News. ""If our female citizens' repatriation issue is not resolved as quickly as possible, it could serve as an obstacle not just to the planned reunions of separated families between the two Koreas but also to the overall inter-Korean relations,"" said Uriminzokkiri, a propaganda website for the North, last month. South Korean officials declined to say if the issue came up in Monday's talks.","– The leaders of North and South Korea will meet in Pyongyang in September for the third time this year, CNN reports. The announcement came after high-level talks between officials from the two Koreas at the DMZ Monday. ""What's very important is that both governments do all they ought to do regarding progressing all the issues on the agenda,"" Ri Son Gwon, North Korea's point man for inter-Korean relations, told reporters. ""If the issues that were raised in the inter-Korea talks and individual meetings are not resolved, then unexpected problems could arise and all the items on the Agenda could meet obstacles."" Ri didn't say exactly when the September summit would be held, but Cho Myoung-gyon, Cho's South Korean counterpart, said ""it needs to be discussed further."" A spokesperson for Moon said holding the summit before Sept. 10 would be difficult due to logistics."
2478,"– Texas is bracing itself for more flooding after days of heavy rain, with the remnants of Hurricane Patricia expected to soak the state over the next few days. The storm system already moving through Texas dumped nearly two feet of rain on parts of the state since Friday, causing flooding that blocked several major roadways, the AP reports. Galveston County Judge Mark Henry on Saturday issued a voluntary evacuation for Bolivar Peninsula, just northeast of Galveston Island, after forecasters predicted that the area would get 8 to 12 inches of rain and tides that are 4 to 5 feet high. ""Elderly residents and people with medical conditions should make plans to leave the area before dark,"" Henry said. County spokeswoman Brittany Rainville said there were buses waiting to evacuate people, but no one had yet shown up to leave. She said about 4,000 people live on the peninsula. In San Antonio, a man walking his dog before dawn early Saturday was swept into a flooded drainage ditch and disappeared, fire officials said. Firefighters searched for two hours but had to stop due to bad weather. The dog is safe.","– Texas is bracing itself for flooding today as the remnants of Hurricane Patricia bring more rain to a state already drenched by nearly two feet of rain. Galveston County Judge Mark Henry has issued a voluntary evacuation for Bolivar Peninsula, just northeast of Galveston Island, after forecasters predicted that the area would get 8 to 12 inches of rain and tides that are 4 to 5 feet high, reports the AP. ""Elderly residents and people with medical conditions should make plans to leave the area before dark,"" Henry said. Meanwhile, a freight train derailed in floodwaters near Corsicana, Texas, early today, but no one was injured, reports NBC News. The 64-car Union Pacific train was en route from Midlothian to Houston when it got caught in floodwaters, which have closed major highways throughout North Texas. The water partially submerged one locomotive and several rail cars, but both crew members ""swam to high ground"" and were pulled out by a high-water rescue team. In San Antonio, emergency responders are searching for a man who was swept away Saturday around 3am local time. The man fell into a flooded drainage ditch while trying to pull his dog back. The dog was found, but firefighters had to suspend the search for his owner due to the weather. ""It should start to move out Sunday night, but East Texas is going to still be in the rain Sunday evening, even Monday,"" says a Weather Channel meteorologist.","Play Facebook 
 
 Twitter 
 
 Google Plus 
 
 Embed Strong Storm Slams Into Texas Triggering Water Rescues, Flash Floods 2:43 autoplay autoplay Copy this code to your website or blog 
 
 A freight train overturned on waterlogged tracks Saturday morning in Texas as heavy rains pounded the region for a third straight day — with remnants of Hurricane Patricia threatening to keep a large part of the state under a flash flood watch. 
 
 One person, a man walking his dog in San Antonio, was missing as...","– Two crew members had to be rescued when flooding in Texas overturned a 64-car Union Pacific freight train on its way to Houston early Saturday morning, NBC News reports. Navarro County, where the train was derailed around 3:30am local time, had received nearly 2 feet of rain in 24 hours, and more was expected with what's left of Hurricane Patricia heading into the area. According to the AP, a creek overflowed and washed away the train tracks. ""[The crew] escaped the train after it stopped and swam to high ground,"" a Union Pacific spokesperson tells the AP. ""A Navarro County rescue team was able to get in and pull them to safety. They are back safe on dry ground."" Despite several rail cars and a locomotive ending up partially underwater, no injuries were reported in the train crash, NBC reports. The train—which is carrying cement or gravel—was still on its side hours later, with crews waiting until water levels drop before they attempt to remove it. After three days of heavy rains, Navarro County has carried out five dozen water rescues. According to the AP, only one person is missing so far in the recent Texas flooding. A man walking his dog in San Antonio fell into a flooded draining ditch and was swept away. His dog was later found safe.","– Hurricane Patricia has been downgraded to a tropical depression, but Texas isn't out of the woods yet. The state is under a flash-flood watch, and Houston, Corpus Christi, and other parts of southeast Texas are under a tornado watch until 10pm Saturday, NBC News reports. In Navarro County south of Dallas, two train crew members were rescued early Saturday after a 64-car Union Pacific train derailed in floodwaters, partially submerged one locomotive and several rail cars, but no one was injured. The 64-car train was traveling from Midlothian to Houston when it got caught in floodwaters that had closed major highways throughout North Texas. The county has received 20 to 21 inches of rainfall in the past 24 hours, and emergency management coordinator Eric Myers tells NBC that 72 swift-water rescues have been performed. The heaviest of the rain should be done by Saturday night, he adds, ""but they're going to have flooding problems in South and East Texas at least through tomorrow."" Hundreds of flights were canceled or delayed on Thursday and Friday at Dallas-Fort Worth International Airport. The airport got 3.24 inches of rain on Friday alone—a daily record. The storm system already moving through Texas dumped nearly two feet of rain since Friday, causing flooding that blocked several major roadways. Galveston County Judge Mark Henry on Saturday issued a voluntary evacuation for Bolivar Peninsula, just northeast of Galveston Island. The judge warned that residents who don't leave might find themselves cut off from emergency services as the heaviest winds and tides are 4 to 5 feet high."
5010,"– The Australian couple at the center of a surrogacy scandal in Thailand say they would have aborted their pregnancy had they known that their surrogate had a baby boy with Down syndrome. ""No parent wants a son with a disability,"" biological father David Farnell told Australia's 60 Minutes. ""It was late into the pregnancy that we learned the boy had Down's. They sent us the reports, but they didn't do the checks early enough."" But surrogate mother Pattaramon Chanbua told the program that ""if we try to take our little boy, she's going to get the police and she'll come and take ourlittle girl,"" the Sydney Morning Herald reports. The Farnells returned to Australia with baby Gammy, who has a hole in his heart, and his healthy sister, Pipah. ""We wanted to bring him with us,"" Farnell said. ""There is no reason to be concerned. I'm not going to harm my little daughter."" Farnell has 22 convictions for sexually abusing girls as young as 5, but he says he won't harm his 4-year-old daughter. ""I have no inclination of doing anything like this. I don't have any thoughts about this at all. That is the 100% truth. I cannot do this again.""","– An Australian couple at the center of a surrogacy scandal in Thailand say they would have ended their pregnancy had they known that their surrogate had a baby boy with Down syndrome. ""No parent wants a son with a disability,"" biological father David Farnell told Australia's 60 Minutes. ""It was late into the pregnancy that we learned the boy had Down's. They sent us the reports, but they didn't do the checks early enough."" But surrogate mother Pattaramon Chanbua told the program that ""if we try to take our little boy, she's going to get the police and she'll come and take ourlittle girl."" Farnell's wife, Wendy, added that they were both ""very, very stressed"" by the story, which has made them the most hated couple in Australia. The Farnells returned to Australia with baby Gammy, who has a hole in his heart, and his healthy sister, Pipah. ""We wanted to bring him with us,"" Farnell said. ""I have been convicted of child sex offenses and I hang my head in shame for that,"" said Farnell, who added that he is no longer a risk to children. Gammy is being cared for in a Thai hospital—The Australian couple accused of abandoning a surrogate baby in Thailand who has Down syndrome say they want to bring the boy home.",,,
5357,"– ""PAID JOB OFFER WITH CATS!"" reads the post on God's Little People Cat Rescue's Facebook page. ""A very special position and living on offer on a little Greek island called Syros (a small paradise no less!)"" The Greek island is located in the Aegean Sea to the southeast of Athens, and the post goes on to explain that you'll have free housing, a salary, and a lot of free time. ""This is genuine and NOT a joke—friends, please feel free to verify!"" the post continues. ""If you have a love for cats and want to make a difference in the world, this is the job for you."" The post has been shared more than 5,000 times and liked more than 5,600 times as of this writing.","– ""PAID JOB OFFER WITH CATS!"" reads the post on God's Little People Cat Rescue's Facebook page. ""A very special position and living on offer on a little Greek island called Syros (a small paradise no less!)"" The Greek island is located in the Aegean Sea to the southeast of Athens, and the post goes on to explain that you'll have free housing, a salary, and a lot of free time. ""This is genuine and NOT a joke—friends, please feel free to verify!"" the post continues. ""If you have a love for cats and want to make a difference in the world, this is the job for you."" The post has been shared more than 5,000 times and liked more than 5,600 times as of this writing.",,,
4333,"– Sharron Angle, the Tea Party favorite challenging Harry Reid in Nevada's Senate race, has softened her rhetoric on ""phasing out"" Social Security and backed away from statements about people exercising ""Second Amendment remedies"" if conservatives don't win. But on other issues, like abortion and her belief that unemployment benefits deter the jobless from applying for work, she stridently defended herself amid criticism from her Democratic rival, Talking Points Memo reports. In an interview on Face to Face With Jon Ralston, Angle held firm in opposing extension of unemployment benefits. Instead, she said jobs exist that those on benefits should be taking. ""They keep extending unemployment benefits to the point where people are afraid to go out and get a job because the job doesn't pay as much as the benefit,"" Angle said. ""There are jobs that do exist."" Angle also reaffirmed her opposition to abortion, saying government should not have gotten involved in the issue. When Ralston challenged her comments to a conservative talk show host that abortion should not be available even in the case of rape or incest, Angle said she values life. ""You want government to go and tell a 13-year-old child who’s been—Sharron Angle wants women not to have control over their reproductive rights in cases of rapE or Incest because it would interfere with God's 'plan' for them.""","– Tea Party favorite Sharron Angle is sticking to her guns on unemployment benefits, abortion, and even God's ""plan"" for women. In her first mainstream media interview since winning the Republican primary for the Senate, Angle told Face to Face With Jon Ralston that unemployment benefits ""keep extending to the point where people are afraid to go out and get a job because the job doesn't pay as much as the benefit,"" Talking Points Memo reports. ""There are jobs that do exist."" Angle also reaffirmed her opposition to abortion, saying government should not have gotten involved in the issue. ""You want government to go and tell a 13-year-old child who’s been—Sharron Angle wants women not to have control over their reproductive rights in cases of rape or incest, because it would interfere with God’s 'plan' for them,"" she told a conservative radio host. ""Not in my book."" Angle said the issue won't be ""the most prominent issue"" in the race, but she ""will show voters the difference between Reid and me on abortion: He flip-flops on the issues.""","Sharron Angle retreats a bit, but mostly stands ground Republican candidate for Senate gives first interview to mainstream medium 
 
 Lisa J. Tolda / Special to the Sun 
 
 WHERE SHE CHANGED Angle softened her rhetoric on phasing out Social Security and retreated from statements about people exercising “Second Amendment remedies” if conservatives don’t prevail this year. 
 
 WHERE SHE DIDN'T Angle held firm in opposing extension of unemployment benefits. She also restated her opposition to abort...","– A little thing like rape isn't a good enough excuse for an abortion, as far as Sharron Angle's concerned. Harry Reid's conservative, Tea Party-backed opponent gave an interview in January, in which she told conservative host Bill Manders that rape victims need to trust in God's plan. “Is there any reason at all for an abortion?” Manders asks in the clip, which was dug up by Think Progress. “Not in my book,” Angle replies. Not even, Manders presses, in the case of rape or incest? “Well, you know, I'm a Christian,” Angle says, “and I believe that God has a plan and a purpose for each one of our lives and that he can intercede in all kinds of situations and we need to have a little faith.” Angle got pressed on the issue yesterday in her first interview with the mainstream press since winning the GOP nomination. (More details from it at the Las Vegas Sun.) “You want government to go and tell a 13-year-old child who’s been raped by her father she has to have that baby?” asked her interviewer. “I didn’t say that,"" she responded. ""I always say that I value life.”","– Tea Party favorite Sharron Angle says she values life even in cases of rape or incest. “You want government to go and tell a 13-year-old child who’s been raped by her father she has to have that baby?” a conservative radio host asked. “I didn’t say that,” Angle replied. She added that she believes government should stay out of the issue of abortion, but “the government decided to get involved in this, not me. I’m just defending my position.” Angle has been making the rounds on conservative talk shows, but has so far avoided the mainstream media, Talking Points Memo reports. “It’s shocking to hear her say that the separation of church and state isn’t part of the Constitution, when it is laid out in the First Amendment,” said a spokesman for the National Republican Senatorial Committee."
